"LIVERPOOL CENTRO";"Venustiano Carranza No. 92. Colonia Centro.";"6060";"MX"
"LIVERPOOL INSURGENTES";"Av. Insurgentes Sur No. 1310. Colonia Del Valle.";"3100";"MX"
"LIVERPOOL POLANCO";"Mariano Escobedo No. 425. Colonia Chapultepec Morales.";"11570";"MX"
"LIVERPOOL SATELITE";"Circuito Centro Comercial No. 2251. Colonia Ciudad Satélite. Plaza Satélite.";"53100";"MX"
"LIVERPOOL PERISUR";"Periférico Sur No. 4690. Colonia Ampliación Jardines Pedregal.";"4500";"MX"
"LIVERPOOL COAPA";"Calzada del Hueso No. 519. Colonia Residencial Acoxpa. Centro Comercial Galerías Coapa.";"14300";"MX"
"LIVERPOOL SANTA FE";"Av. Vasco de Quiroga No. 3800. Colonia Santa Fe. Centro Comercial Santa Fe.";"5109";"MX"
"Fábricas de Francia XALAPA";"Av. Lázaro Cárdenas. Esquina con Antonio Chedraui Karam s/n. Colonia Encinal. Plaza Crystal.";"91180";"MX"
"Fábricas de Francia CORDOBA";"Autopista Córdoba Orizaba. Km. 1. Fraccionamiento Las Lomas. Plaza Crystal.";"94570";"MX"
"Fábricas de Francia VILLAHERMOSA";"Av. Heróico Colegio Militar. Esquina con Quintín Araus s/n. Colonia Atasta de Cerra. Plaza Cristal.";"86100";"MX"
"LIVERPOOL TUXTLA GTZ";"Blvd. Belisario Domínguez No. 1691. Colonia Jardines de Tuxtla.";"29020";"MX"
"Fábricas de Francia PUEBLA";"Blvd. Valsequillo. No. 107. Colonia Residencial Boulevares. Plaza Crystal.";"72440";"MX"
"Fábricas de Francia COATZACOALCOS";"Av. Universidad esq. con Jacarandas s/n. Col. Rancho Alegre I Plaza Cristal.";"96558";"MX"
"Fábricas de Francia POZA RICA";"Blvd. Lázaro Cárdenas. No. 807. Colonia Morelos. Plaza Cristal.";"93340";"MX"
"LIVERPOOL VILLAHERMOSA";"Paseo Tabasco No. 1405. Colonia Desarrollo Urbano Tabasco 2000. Galerías Tabasco 2000.";"86035";"MX"
"LIVERPOOL MTY CENTRO";"Melchor Ocampo No. 108. Colonia Oriente Centro.";"64000";"MX"
"Fábricas de Francia GDL GRAN PLAZA";"Av. Vallarta No. 3959. Colonia Don Bosco Vallarta.";"45049";"MX"
"Fábricas de Francia ACAPULCO";"Costera Miguel Alemán No. 1632. Esquina con Wilfrido Massieu. Fraccionamiento Magallanes. Interior Gran Plaza.";"39670";"MX"
